model_id,source,url,license,license_verified,fragment_count,notes
live2d_001,1Natsume/live2d_model,https://github.com/1Natsume/live2d_model,,False,1,xinnong_5
live2d_002,51hhh/51hhh.github.io,https://github.com/51hhh/51hhh.github.io,,False,1,live2d-model-xiaohei
live2d_003,51hhh/51hhh.github.io,https://github.com/51hhh/51hhh.github.io,,False,0,live2d-model-xiaohei/表情
live2d_004,Arisego/UnrealLive2D,https://github.com/Arisego/UnrealLive2D,MIT,True,0,Content/Samples/Haru
live2d_005,Arisego/UnrealLive2D,https://github.com/Arisego/UnrealLive2D,MIT,True,0,Content/Samples/Hiyori
live2d_006,Arisego/UnrealLive2D,https://github.com/Arisego/UnrealLive2D,MIT,True,0,Content/Samples/Mark
live2d_007,Arisego/UnrealLive2D,https://github.com/Arisego/UnrealLive2D,MIT,True,0,Content/Samples/Natori
live2d_008,Arisego/UnrealLive2D,https://github.com/Arisego/UnrealLive2D,MIT,True,0,Content/Samples/Rice
live2d_009,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/abeikelongbi_3
live2d_010,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/abeikelongbi_3_hx
live2d_011,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/aidang_2
live2d_012,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/aierdeliqi_4
live2d_013,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,2,碧蓝航线/aierdeliqi_5
live2d_014,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/ailunsamuna_2
live2d_015,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/ailunsamuna_2_hx
live2d_016,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,2,碧蓝航线/aimierbeierding_2
live2d_017,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/aimierbeierding_3
live2d_018,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/aimierbeierding_3_hx
live2d_019,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,2,碧蓝航线/aisaikesi_4
live2d_020,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/baerdimo_5
live2d_021,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/banrenma_2
live2d_022,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/beierfasite_2
live2d_023,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/beikaluolaina_2
live2d_024,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/beikaluolaina_2_hx
live2d_025,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/biaoqiang_3
live2d_026,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/bisimai_2
live2d_027,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/bola_2
live2d_028,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/boyixi_2
