=== Overnight batch started at Sun Mar  1 07:06:37 CET 2026 ===

=== Phase 1: Blender pipeline ===
    62 characters, 5 poses each, 5 angles, flat style, with layers
    Started at Sun Mar  1 07:06:37 CET 2026

INFO pipeline.pose_applicator: Indexed 180 Turn W_ Briefcase (1).fbx: 69 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed 180 Turn W_ Briefcase.fbx: 68 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed 2hand Idle.fbx: 144 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed Acknowledging.fbx: 59 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed Action Idle To Fight Idle.fbx: 31 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed Action Idle To Standing Idle.fbx: 29 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed Administering Cpr.fbx: 260 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed Aerial Evade.fbx: 111 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed Agony.fbx: 112 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed Agreeing.fbx: 56 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed Aiming Gun.fbx: 73 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed Aiming.fbx: 61 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed Air Squat Bent Arms (1).fbx: 57 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed Air Squat Bent Arms.fbx: 57 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed Angry Gesture.fbx: 67 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed Angry.fbx: 576 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed Annoyed Head Shake.fbx: 78 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed Arm Gesture.fbx: 103 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed Arm Stretching.fbx: 267 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed Armada.fbx: 50 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed Ascending Stairs.fbx: 42 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed Au To Role.fbx: 121 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed Au.fbx: 88 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed Back Flip To Uppercut.fbx: 176 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed Back Squat (1).fbx: 69 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed Back Squat.fbx: 180 frames, 4 keyframes sampled
INFO pipeline.pose_applicator: Indexed Backflip (1).fbx: 124 frames, 4 keyframes sampled
